Year,Month,Product,State,Requirement(in' MT),Availability(in' MT),,,
2014-2015,November,DAP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,November,MAP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,November,MOP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,November,NPK,Andaman & Nicobar,0.00,0.00,,,
2014-2015,November,TSP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,November,UREA,Andaman & Nicobar,0.00,0.00,,,
2014-2015,November,SSP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,November,DAP,Andhra Pradesh,35000.00,6410.10,,,
2014-2015,November,MAP,Andhra Pradesh,0.00,0.00,,,
2014-2015,November,MOP,Andhra Pradesh,20000.00,20359.60,,,
2014-2015,November,NPK,Andhra Pradesh,125000.00,37877.06,,,
2014-2015,November,TSP,Andhra Pradesh,0.00,0.00,,,
2014-2015,November,UREA,Andhra Pradesh,150000.00,2602.90,,,
2014-2015,November,SSP,Andhra Pradesh,0.00,0.00,,,
2014-2015,November,DAP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,November,MAP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,November,MOP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,November,NPK,Arunachal Pradesh,0.00,0.00,,,
2014-2015,November,TSP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,November,UREA,Arunachal Pradesh,0.00,0.00,,,
2014-2015,November,SSP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,November,DAP,Assam,0.00,364.80,,,
2014-2015,November,MAP,Assam,0.00,0.00,,,
2014-2015,November,MOP,Assam,0.00,9484.45,,,
2014-2015,November,NPK,Assam,0.00,2984.65,,,
2014-2015,November,TSP,Assam,0.00,0.00,,,
2014-2015,November,UREA,Assam,0.00,1758.75,,,
2014-2015,November,SSP,Assam,0.00,0.00,,,
2014-2015,November,DAP,Bihar,0.00,20251.25,,,
2014-2015,November,MAP,Bihar,0.00,0.00,,,
2014-2015,November,MOP,Bihar,0.00,15996.65,,,
2014-2015,November,NPK,Bihar,0.00,24277.10,,,
2014-2015,November,TSP,Bihar,0.00,7673.75,,,
2014-2015,November,UREA,Bihar,0.00,11601.64,,,
2014-2015,November,SSP,Bihar,0.00,0.00,,,
2014-2015,November,DAP,Chandigarh,0.00,0.00,,,
2014-2015,November,MAP,Chandigarh,0.00,0.00,,,
2014-2015,November,MOP,Chandigarh,0.00,0.00,,,
2014-2015,November,NPK,Chandigarh,0.00,0.00,,,
2014-2015,November,TSP,Chandigarh,0.00,0.00,,,
2014-2015,November,UREA,Chandigarh,0.00,0.00,,,
2014-2015,November,SSP,Chandigarh,0.00,0.00,,,
2014-2015,November,DAP,Chattishgarh,0.00,6454.40,,,
