Year,Month,Product,State,Requirement(in' MT),Availability(in' MT)
2015-2016,September,DAP,Andaman & Nicobar,0.00,1000.00
2015-2016,September,MAP,Andaman & Nicobar,0.00,0.00
2015-2016,September,MOP,Andaman & Nicobar,0.00,0.00
2015-2016,September,NPK,Andaman & Nicobar,0.00,500.00
2015-2016,September,TSP,Andaman & Nicobar,0.00,0.00
2015-2016,September,UREA,Andaman & Nicobar,0.00,0.00
2015-2016,September,SSP,Andaman & Nicobar,0.00,0.00
2015-2016,September,DAP,Andhra Pradesh,0.00,15740.15
2015-2016,September,MAP,Andhra Pradesh,0.00,0.00
2015-2016,September,MOP,Andhra Pradesh,0.00,20792.55
2015-2016,September,NPK,Andhra Pradesh,0.00,59405.46
2015-2016,September,TSP,Andhra Pradesh,0.00,0.00
2015-2016,September,UREA,Andhra Pradesh,0.00,12990.30
2015-2016,September,SSP,Andhra Pradesh,0.00,0.00
2015-2016,September,DAP,Arunachal Pradesh,0.00,0.00
2015-2016,September,MAP,Arunachal Pradesh,0.00,0.00
2015-2016,September,MOP,Arunachal Pradesh,0.00,0.00
2015-2016,September,NPK,Arunachal Pradesh,0.00,0.00
2015-2016,September,TSP,Arunachal Pradesh,0.00,0.00
2015-2016,September,UREA,Arunachal Pradesh,0.00,0.00
2015-2016,September,SSP,Arunachal Pradesh,0.00,0.00
2015-2016,September,DAP,Assam,0.00,8265.75
2015-2016,September,MAP,Assam,0.00,0.00
2015-2016,September,MOP,Assam,0.00,6425.65
2015-2016,September,NPK,Assam,0.00,5067.40
2015-2016,September,TSP,Assam,0.00,0.00
2015-2016,September,UREA,Assam,0.00,6447.80
2015-2016,September,SSP,Assam,0.00,0.00
2015-2016,September,DAP,Bihar,0.00,40314.30
2015-2016,September,MAP,Bihar,0.00,0.00
2015-2016,September,MOP,Bihar,0.00,28151.90
2015-2016,September,NPK,Bihar,0.00,62458.85
2015-2016,September,TSP,Bihar,0.00,7673.75
2015-2016,September,UREA,Bihar,0.00,11647.35
2015-2016,September,SSP,Bihar,0.00,0.00
2015-2016,September,DAP,Chandigarh,0.00,0.00
2015-2016,September,MAP,Chandigarh,0.00,0.00
2015-2016,September,MOP,Chandigarh,0.00,0.00
2015-2016,September,NPK,Chandigarh,0.00,0.00
2015-2016,September,TSP,Chandigarh,0.00,0.00
2015-2016,September,UREA,Chandigarh,0.00,0.00
2015-2016,September,SSP,Chandigarh,0.00,0.00
2015-2016,September,DAP,Chattishgarh,0.00,12156.11
2015-2016,September,MAP,Chattishgarh,0.00,0.00
2015-2016,September,MOP,Chattishgarh,0.00,21150.80
2015-2016,September,NPK,Chattishgarh,0.00,5282.84
2015-2016,September,TSP,Chattishgarh,0.00,3858.25
2015-2016,September,UREA,Chattishgarh,0.00,3087.95
2015-2016,September,SSP,Chattishgarh,0.00,0.00
2015-2016,September,DAP,Dadra & Nagar Haveli,0.00,12.25
2015-2016,September,MAP,Dadra & Nagar Haveli,0.00,0.00
2015-2016,September,MOP,Dadra & Nagar Haveli,0.00,0.00
2015-2016,September,NPK,Dadra & Nagar Haveli,0.00,0.00
2015-2016,September,TSP,Dadra & Nagar Haveli,0.00,0.00
2015-2016,September,UREA,Dadra & Nagar Haveli,0.00,8.10
2015-2016,September,SSP,Dadra & Nagar Haveli,0.00,0.00
2015-2016,September,DAP,Daman & Diu,0.00,0.00
2015-2016,September,MAP,Daman & Diu,0.00,0.00
2015-2016,September,MOP,Daman & Diu,0.00,0.00
2015-2016,September,NPK,Daman & Diu,0.00,0.00
2015-2016,September,TSP,Daman & Diu,0.00,0.00
2015-2016,September,UREA,Daman & Diu,0.00,0.00
2015-2016,September,SSP,Daman & Diu,0.00,0.00
2015-2016,September,DAP,Delhi,200.00,258.95
2015-2016,September,MAP,Delhi,0.00,0.00
2015-2016,September,MOP,Delhi,0.00,0.00
2015-2016,September,NPK,Delhi,0.00,0.00
2015-2016,September,TSP,Delhi,0.00,0.00
2015-2016,September,UREA,Delhi,200.00,0.00
2015-2016,September,SSP,Delhi,0.00,0.00
2015-2016,September,DAP,Goa,0.00,21.15
2015-2016,September,MAP,Goa,0.00,0.00
2015-2016,September,MOP,Goa,0.00,0.00
2015-2016,September,NPK,Goa,0.00,2.40
2015-2016,September,TSP,Goa,0.00,0.00
2015-2016,September,UREA,Goa,0.00,7.90
2015-2016,September,SSP,Goa,0.00,0.00
2015-2016,September,DAP,Gujarat,0.00,42727.68
2015-2016,September,MAP,Gujarat,0.00,0.00
2015-2016,September,MOP,Gujarat,0.00,1912.45
2015-2016,September,NPK,Gujarat,0.00,27222.16
2015-2016,September,TSP,Gujarat,0.00,6313.85
2015-2016,September,UREA,Gujarat,0.00,16368.49
2015-2016,September,SSP,Gujarat,0.00,0.00
2015-2016,September,DAP,Harayana,0.00,37329.00
2015-2016,September,MAP,Harayana,0.00,0.00
2015-2016,September,MOP,Harayana,0.00,13042.65
2015-2016,September,NPK,Harayana,0.00,11995.05
2015-2016,September,TSP,Harayana,0.00,0.00
2015-2016,September,UREA,Harayana,0.00,9596.30
2015-2016,September,SSP,Harayana,0.00,0.00
2015-2016,September,DAP,Himachal Pradesh,0.00,0.00
2015-2016,September,MAP,Himachal Pradesh,0.00,0.00
2015-2016,September,MOP,Himachal Pradesh,0.00,0.00
2015-2016,September,NPK,Himachal Pradesh,0.00,20.00
2015-2016,September,TSP,Himachal Pradesh,0.00,0.00
2015-2016,September,UREA,Himachal Pradesh,0.00,152.40
2015-2016,September,DAP,Jammu & Kashmir,0.00,3265.75
2015-2016,September,MAP,Jammu & Kashmir,0.00,0.00
2015-2016,September,MOP,Jammu & Kashmir,0.00,3488.05
2015-2016,September,NPK,Jammu & Kashmir,0.00,0.00
2015-2016,September,TSP,Jammu & Kashmir,0.00,0.00
2015-2016,September,UREA,Jammu & Kashmir,0.00,962.95
2015-2016,September,SSP,Jammu & Kashmir,0.00,0.00
2015-2016,September,DAP,Jharkhand,0.00,6638.70
2015-2016,September,MAP,Jharkhand,0.00,0.00
2015-2016,September,MOP,Jharkhand,0.00,914.45
2015-2016,September,NPK,Jharkhand,0.00,10660.90
2015-2016,September,TSP,Jharkhand,0.00,0.00
2015-2016,September,UREA,Jharkhand,0.00,703.15
