Year,Month,Product,State,Requirement(in MT),Availability(in MT)
2015-2016,April,DAP,Andaman & Nicobar,0,0
2015-2016,April,MAP,Andaman & Nicobar,0,0
2015-2016,April,MOP,Andaman & Nicobar,0,0
2015-2016,April,NPK,Andaman & Nicobar,0,0
2015-2016,April,TSP,Andaman & Nicobar,0,0
2015-2016,April,UREA,Andaman & Nicobar,0,0
2015-2016,April,SSP,Andaman & Nicobar,0,0
2015-2016,April,DAP,Andhra Pradesh,0,4466.62
2015-2016,April,MAP,Andhra Pradesh,0,0
2015-2016,April,MOP,Andhra Pradesh,0,17390.15
2015-2016,April,NPK,Andhra Pradesh,0,35807.34
2015-2016,April,TSP,Andhra Pradesh,0,0
2015-2016,April,UREA,Andhra Pradesh,0,8843.6
2015-2016,April,SSP,Andhra Pradesh,0,0
2015-2016,April,DAP,Arunachal Pradesh,0,0
2015-2016,April,MAP,Arunachal Pradesh,0,0
2015-2016,April,MOP,Arunachal Pradesh,0,0
2015-2016,April,NPK,Arunachal Pradesh,0,0
2015-2016,April,TSP,Arunachal Pradesh,0,0
2015-2016,April,UREA,Arunachal Pradesh,0,0
2015-2016,April,SSP,Arunachal Pradesh,0,0
2015-2016,April,DAP,Assam,0,3885.1
2015-2016,April,MAP,Assam,0,0
2015-2016,April,MOP,Assam,0,11247.8
2015-2016,April,NPK,Assam,0,1443.9
2015-2016,April,TSP,Assam,0,0
2015-2016,April,UREA,Assam,0,2479.2
2015-2016,April,SSP,Assam,0,0
2015-2016,April,DAP,Bihar,0,5236.35
2015-2016,April,MAP,Bihar,0,0
2015-2016,April,MOP,Bihar,0,22863.05
2015-2016,April,NPK,Bihar,0,21715.9
2015-2016,April,TSP,Bihar,0,7673.75
2015-2016,April,UREA,Bihar,0,2378.7
2015-2016,April,SSP,Bihar,0,0
2015-2016,April,DAP,Chandigarh,0,0
2015-2016,April,MAP,Chandigarh,0,0
2015-2016,April,MOP,Chandigarh,0,0
2015-2016,April,NPK,Chandigarh,0,0
2015-2016,April,TSP,Chandigarh,0,0
2015-2016,April,UREA,Chandigarh,0,0
2015-2016,April,SSP,Chandigarh,0,0
2015-2016,April,DAP,Chattishgarh,0,678.8
2015-2016,April,MAP,Chattishgarh,0,0
2015-2016,April,MOP,Chattishgarh,0,9159.5
2015-2016,April,NPK,Chattishgarh,0,7305.84
2015-2016,April,TSP,Chattishgarh,0,3858.25
2015-2016,April,UREA,Chattishgarh,0,4268.6
2015-2016,April,SSP,Chattishgarh,0,0
2015-2016,April,DAP,Dadra & Nagar Haveli,0,25.3
2015-2016,April,MAP,Dadra & Nagar Haveli,0,0
2015-2016,April,MOP,Dadra & Nagar Haveli,0,0
2015-2016,April,NPK,Dadra & Nagar Haveli,0,0.9
2015-2016,April,TSP,Dadra & Nagar Haveli,0,0
2015-2016,April,UREA,Dadra & Nagar Haveli,0,20.2
2015-2016,April,SSP,Dadra & Nagar Haveli,0,0
2015-2016,April,DAP,Delhi,0,0
2015-2016,April,MAP,Delhi,0,0
2015-2016,April,MOP,Delhi,0,0
2015-2016,April,NPK,Delhi,0,0
2015-2016,April,TSP,Delhi,0,0
2015-2016,April,UREA,Delhi,300,0
2015-2016,April,SSP,Delhi,0,0
2015-2016,April,DAP,Goa,0,18.5
2015-2016,April,MAP,Goa,0,0
2015-2016,April,MOP,Goa,0,0
2015-2016,April,NPK,Goa,0,16.7
2015-2016,April,TSP,Goa,0,0
2015-2016,April,UREA,Goa,0,0
2015-2016,April,SSP,Goa,0,0
2015-2016,April,DAP,Gujarat,0,21837.68
2015-2016,April,MAP,Gujarat,0,0
2015-2016,April,MOP,Gujarat,0,2988.95
2015-2016,April,NPK,Gujarat,0,32830.96
2015-2016,April,TSP,Gujarat,0,6313.85
2015-2016,April,UREA,Gujarat,0,5271.79
2015-2016,April,SSP,Gujarat,0,0
2015-2016,April,DAP,Harayana,0,15031
2015-2016,April,MAP,Harayana,0,0
2015-2016,April,MOP,Harayana,0,10070.05
2015-2016,April,NPK,Harayana,0,1041.05
2015-2016,April,TSP,Harayana,0,0
2015-2016,April,UREA,Harayana,0,3274.75
2015-2016,April,SSP,Harayana,0,0
2015-2016,April,DAP,Himachal Pradesh,0,0
2015-2016,April,MAP,Himachal Pradesh,0,0
2015-2016,April,MOP,Himachal Pradesh,0,0
2015-2016,April,NPK,Himachal Pradesh,0,35.55
2015-2016,April,TSP,Himachal Pradesh,0,0
2015-2016,April,UREA,Himachal Pradesh,0,64.7
2015-2016,April,SSP,Himachal Pradesh,0,0
2015-2016,April,DAP,Jammu & Kashmir,0,9600.5
2015-2016,April,MAP,Jammu & Kashmir,0,0
2015-2016,April,MOP,Jammu & Kashmir,0,5775.85
2015-2016,April,NPK,Jammu & Kashmir,0,0
2015-2016,April,TSP,Jammu & Kashmir,0,0
2015-2016,April,UREA,Jammu & Kashmir,0,771.9
2015-2016,April,SSP,Jammu & Kashmir,0,0
2015-2016,April,DAP,Jharkhand,0,0
2015-2016,April,MAP,Jharkhand,0,0
2015-2016,April,MOP,Jharkhand,0,0
2015-2016,April,NPK,Jharkhand,0,71.25
2015-2016,April,TSP,Jharkhand,0,0
2015-2016,April,UREA,Jharkhand,0,0
2015-2016,April,SSP,Jharkhand,0,0
2015-2016,April,DAP,Karnataka,40000,2424.45
2015-2016,April,MAP,Karnataka,0,0
2015-2016,April,MOP,Karnataka,30000,31619.3
2015-2016,April,NPK,Karnataka,60050,50987.02
2015-2016,April,TSP,Karnataka,0,11905.4
