Year,Month,Product,State,Requirement(in' MT),Availability(in' MT),,,
2014-2015,August,DAP,Andaman and Nicobar,0.00,0.00,,,
2014-2015,August,MAP,Andaman and Nicobar,0.00,0.00,,,
2014-2015,August,MOP,Andaman and Nicobar,0.00,0.00,,,
2014-2015,August,NPK,Andaman and Nicobar,0.00,0.00,,,
2014-2015,August,TSP,Andaman and Nicobar,0.00,0.00,,,
2014-2015,August,UREA,Andaman and Nicobar,0.00,0.00,,,
2014-2015,August,SSP,Andaman and Nicobar,0.00,0.00,,,
2014-2015,August,DAP,Andhra Pradesh,100000.00,14593.50,,,
2014-2015,August,MAP,Andhra Pradesh,0.00,0.00,,,
2014-2015,August,MOP,Andhra Pradesh,40000.00,15893.04,,,
2014-2015,August,NPK,Andhra Pradesh,209000.00,70774.27,,,
2014-2015,August,TSP,Andhra Pradesh,0.00,0.00,,,
2014-2015,August,UREA,Andhra Pradesh,350000.00,38818.95,,,
2014-2015,August,SSP,Andhra Pradesh,75000.00,0.00,,,
2014-2015,August,DAP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,August,MAP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,August,MOP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,August,NPK,Arunachal Pradesh,0.00,0.00,,,
2014-2015,August,TSP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,August,UREA,Arunachal Pradesh,0.00,0.00,,,
2014-2015,August,SSP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,August,DAP,Assam,0.00,1657.05,,,
2014-2015,August,MAP,Assam,0.00,0.00,,,
2014-2015,August,MOP,Assam,0.00,4468.80,,,
2014-2015,August,NPK,Assam,0.00,1644.10,,,
2014-2015,August,TSP,Assam,0.00,0.00,,,
2014-2015,August,UREA,Assam,0.00,1071.50,,,
2014-2015,August,SSP,Assam,0.00,0.00,,,
2014-2015,August,DAP,Bihar,0.00,35452.95,,,
2014-2015,August,MAP,Bihar,0.00,0.00,,,
2014-2015,August,MOP,Bihar,0.00,14460.65,,,
2014-2015,August,NPK,Bihar,0.00,32749.95,,,
2014-2015,August,TSP,Bihar,0.00,7673.75,,,
2014-2015,August,UREA,Bihar,0.00,23183.84,,,
2014-2015,August,SSP,Bihar,0.00,0.00,,,
2014-2015,August,DAP,Chandigarh,0.00,0.00,,,
2014-2015,August,MAP,Chandigarh,0.00,0.00,,,
2014-2015,August,MOP,Chandigarh,0.00,0.00,,,
2014-2015,August,NPK,Chandigarh,0.00,0.00,,,
2014-2015,August,TSP,Chandigarh,0.00,0.00,,,
2014-2015,August,UREA,Chandigarh,0.00,0.00,,,
2014-2015,August,SSP,Chandigarh,0.00,0.00,,,
2014-2015,August,DAP,Chattishgarh,0.00,19951.40,,,
2014-2015,August,MAP,Chattishgarh,0.00,0.00,,,
2014-2015,August,MOP,Chattishgarh,0.00,15660.00,,,
2014-2015,August,NPK,Chattishgarh,0.00,5546.80,,,
2014-2015,August,TSP,Chattishgarh,0.00,3858.25,,,
2014-2015,August,UREA,Chattishgarh,0.00,5730.40,,,
2014-2015,August,SSP,Chattishgarh,0.00,0.00,,,
2014-2015,August,DAP,Dadra and Nagar Haveli,0.00,27.80,,,
2014-2015,August,MAP,Dadra and Nagar Haveli,0.00,0.00,,,
2014-2015,August,MOP,Dadra and Nagar Haveli,0.00,0.00,,,
2014-2015,August,NPK,Dadra and Nagar Haveli,0.00,18.15,,,
2014-2015,August,TSP,Dadra and Nagar Haveli,0.00,0.00,,,
2014-2015,August,UREA,Dadra and Nagar Haveli,0.00,15.15,,,
2014-2015,August,SSP,Dadra and Nagar Haveli,0.00,0.00,,,
2014-2015,August,DAP,Daman and Diu,0.00,0.00,,,
2014-2015,August,MAP,Daman and Diu,0.00,0.00,,,
2014-2015,August,MOP,Daman and Diu,0.00,0.00,,,
2014-2015,August,NPK,Daman and Diu,0.00,0.00,,,
2014-2015,August,TSP,Daman and Diu,0.00,0.00,,,
2014-2015,August,UREA,Daman and Diu,0.00,0.00,,,
2014-2015,August,SSP,Daman and Diu,0.00,0.00,,,
2014-2015,August,DAP,Delhi,0.00,0.00,,,
2014-2015,August,MAP,Delhi,0.00,0.00,,,
2014-2015,August,MOP,Delhi,0.00,0.00,,,
2014-2015,August,NPK,Delhi,0.00,0.00,,,
2014-2015,August,TSP,Delhi,0.00,0.00,,,
2014-2015,August,UREA,Delhi,0.00,0.00,,,
2014-2015,August,SSP,Delhi,0.00,0.00,,,
2014-2015,August,DAP,Goa,0.00,108.80,,,
2014-2015,August,MAP,Goa,0.00,0.00,,,
2014-2015,August,MOP,Goa,0.00,0.00,,,
2014-2015,August,NPK,Goa,0.00,0.50,,,
2014-2015,August,TSP,Goa,0.00,0.00,,,
2014-2015,August,UREA,Goa,0.00,110.00,,,
2014-2015,August,SSP,Goa,0.00,0.00,,,
2014-2015,August,DAP,Gujarat,0.00,18994.88,,,
2014-2015,August,MAP,Gujarat,0.00,0.00,,,
2014-2015,August,MOP,Gujarat,0.00,4438.40,,,
2014-2015,August,NPK,Gujarat,0.00,12894.00,,,
2014-2015,August,TSP,Gujarat,0.00,6313.85,,,
2014-2015,August,UREA,Gujarat,0.00,11233.91,,,
2014-2015,August,SSP,Gujarat,0.00,0.00,,,
2014-2015,August,DAP,Harayana,0.00,19852.20,,,
2014-2015,August,MAP,Harayana,0.00,0.00,,,
2014-2015,August,MOP,Harayana,0.00,1601.80,,,
2014-2015,August,NPK,Harayana,0.00,3488.50,,,
2014-2015,August,TSP,Harayana,0.00,0.00,,,
2014-2015,August,UREA,Harayana,0.00,5990.55,,,
2014-2015,August,SSP,Harayana,0.00,0.00,,,
2014-2015,August,DAP,Himachal Pradesh,0.00,0.00,,,
2014-2015,August,MAP,Himachal Pradesh,0.00,0.00,,,
2014-2015,August,MOP,Himachal Pradesh,0.00,0.00,,,
2014-2015,August,NPK,Himachal Pradesh,0.00,74.15,,,
2014-2015,August,TSP,Himachal Pradesh,0.00,0.00,,,
2014-2015,August,UREA,Himachal Pradesh,0.00,206.35,,,
2014-2015,August,SSP,Himachal Pradesh,0.00,0.00,,,
2014-2015,August,DAP,Jammu and Kashmir,0.00,6327.10,,,
2014-2015,August,MAP,Jammu and Kashmir,0.00,0.00,,,
2014-2015,August,MOP,Jammu and Kashmir,0.00,603.40,,,
2014-2015,August,NPK,Jammu and Kashmir,0.00,0.00,,,
2014-2015,August,TSP,Jammu and Kashmir,0.00,0.00,,,
2014-2015,August,UREA,Jammu and Kashmir,0.00,2649.90,,,
2014-2015,August,SSP,Jammu and Kashmir,0.00,0.00,,,
2014-2015,August,DAP,Jharkhand,5500.00,2898.00,,,
2014-2015,August,MAP,Jharkhand,0.00,0.00,,,
2014-2015,August,MOP,Jharkhand,0.00,108.00,,,
2014-2015,August,NPK,Jharkhand,2500.00,1656.50,,,
2014-2015,August,TSP,Jharkhand,0.00,0.00,,,
2014-2015,August,UREA,Jharkhand,20000.00,5689.50,,,
2014-2015,August,SSP,Jharkhand,0.00,0.00,,,
