Year,Month,Product,State,Requirement(in' MT),Availability(in' MT),,,
2014-2015,January,DAP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,January,MAP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,January,MOP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,January,NPK,Andaman & Nicobar,0.00,0.00,,,
2014-2015,January,TSP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,January,UREA,Andaman & Nicobar,0.00,0.00,,,
2014-2015,January,SSP,Andaman & Nicobar,0.00,0.00,,,
2014-2015,January,DAP,Andhra Pradesh,30000.00,10041.67,,,
2014-2015,January,MAP,Andhra Pradesh,0.00,0.00,,,
2014-2015,January,MOP,Andhra Pradesh,30000.00,30812.60,,,
2014-2015,January,NPK,Andhra Pradesh,114000.00,53453.54,,,
2014-2015,January,TSP,Andhra Pradesh,0.00,0.00,,,
2014-2015,January,UREA,Andhra Pradesh,150000.00,7734.90,,,
2014-2015,January,SSP,Andhra Pradesh,0.00,0.00,,,
2014-2015,January,DAP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,January,MAP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,January,MOP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,January,NPK,Arunachal Pradesh,0.00,0.00,,,
2014-2015,January,TSP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,January,UREA,Arunachal Pradesh,0.00,0.00,,,
2014-2015,January,SSP,Arunachal Pradesh,0.00,0.00,,,
2014-2015,January,DAP,Assam,0.00,4196.25,,,
2014-2015,January,MAP,Assam,0.00,0.00,,,
2014-2015,January,MOP,Assam,0.00,14497.55,,,
2014-2015,January,NPK,Assam,0.00,2167.00,,,
2014-2015,January,TSP,Assam,0.00,0.00,,,
2014-2015,January,UREA,Assam,0.00,570.70,,,
2014-2015,January,SSP,Assam,0.00,0.00,,,
2014-2015,January,DAP,Bihar,0.00,10705.35,,,
2014-2015,January,MAP,Bihar,0.00,0.00,,,
2014-2015,January,MOP,Bihar,0.00,18811.30,,,
2014-2015,January,NPK,Bihar,0.00,15398.00,,,
2014-2015,January,TSP,Bihar,0.00,7673.75,,,
2014-2015,January,UREA,Bihar,0.00,12230.64,,,
2014-2015,January,SSP,Bihar,0.00,0.00,,,
2014-2015,January,DAP,Chandigarh,0.00,0.00,,,
2014-2015,January,MAP,Chandigarh,0.00,0.00,,,
2014-2015,January,MOP,Chandigarh,0.00,0.00,,,
2014-2015,January,NPK,Chandigarh,0.00,0.00,,,
2014-2015,January,TSP,Chandigarh,0.00,0.00,,,
2014-2015,January,UREA,Chandigarh,0.00,0.00,,,
