Year,Month,Product,State,Requirement(in' MT),Availability(in' MT)
2013-14,April,DAP,Andaman & Nicobar,500.000,0.000
2013-14,April,MAP,Andaman & Nicobar,0.000,0.000
2013-14,April,MOP,Andaman & Nicobar,0.000,0.000
2013-14,April,NPK,Andaman & Nicobar,500.000,0.000
2013-14,April,SSP,Andaman & Nicobar,0.000,0.000
2013-14,April,TSP,Andaman & Nicobar,0.000,0.000
2013-14,April,UREA,Andaman & Nicobar,500.000,0.000
2013-14,April,DAP,Andhra Pradesh,"50,000.000","31,390.150"
2013-14,April,MAP,Andhra Pradesh,0.000,0.000
2013-14,April,MOP,Andhra Pradesh,"30,000.000","21,198.390"
2013-14,April,NPK,Andhra Pradesh,"1,15,000.000","57,401.058"
2013-14,April,SSP,Andhra Pradesh,"20,000.000","5,893.046"
2013-14,April,TSP,Andhra Pradesh,0.000,0.000
2013-14,April,UREA,Andhra Pradesh,"1,00,000.000","87,238.750"
2013-14,April,DAP,Arunachal Pradesh,60.000,0.000
2013-14,April,MAP,Arunachal Pradesh,0.000,0.000
2013-14,April,MOP,Arunachal Pradesh,20.000,0.000
2013-14,April,NPK,Arunachal Pradesh,0.000,0.000
2013-14,April,SSP,Arunachal Pradesh,40.000,0.000
2013-14,April,TSP,Arunachal Pradesh,0.000,0.000
2013-14,April,UREA,Arunachal Pradesh,110.000,0.000
2013-14,April,DAP,Assam,"2,250.000","5,155.600"
2013-14,April,MAP,Assam,0.000,0.000
2013-14,April,MOP,Assam,"5,400.000","2,735.600"
2013-14,April,NPK,Assam,680.000,297.300
2013-14,April,SSP,Assam,"7,200.000",24.700
2013-14,April,TSP,Assam,0.000,0.000
2013-14,April,UREA,Assam,"13,050.000",431.800
2013-14,April,DAP,Bihar,"20,000.000","15,630.900"
2013-14,April,MAP,Bihar,0.000,0.000
2013-14,April,MOP,Bihar,"5,000.000","1,058.500"
2013-14,April,NPK,Bihar,"15,000.000","2,628.850"
2013-14,April,SSP,Bihar,"6,000.000",462.550
2013-14,April,TSP,Bihar,0.000,"7,673.750"
2013-14,April,UREA,Bihar,"80,000.000","9,117.700"
2013-14,April,DAP,Chandigarh,0.000,0.000
2013-14,April,MAP,Chandigarh,0.000,0.000
