"Year","Month","Product","State","Requirement (in Million Tonnes)","Availability (in Million Tonnes)"
"2012-13","April","DAP","Andaman & Nicobar","50.00","0.00"
"2012-13","April","MAP","Andaman & Nicobar","0.00","0.00"
"2012-13","April","MOP","Andaman & Nicobar","20.00","0.00"
"2012-13","April","NPK","Andaman & Nicobar","15.00","0.00"
"2012-13","April","TSP","Andaman & Nicobar","0.00","0.00"
"2012-13","April","UREA","Andaman & Nicobar","15.00","0.00"
"2012-13","April","DAP","Andhra Pradesh","75000.00","45663.65"
"2012-13","April","MAP","Andhra Pradesh","0.00","1586.85"
"2012-13","April","MOP","Andhra Pradesh","25000.00","60966.75"
"2012-13","April","NPK","Andhra Pradesh","125000.00","213431.53"
"2012-13","April","TSP","Andhra Pradesh","0.00","1785.80"
"2012-13","April","UREA","Andhra Pradesh","12500.00","52647.50"
"2012-13","April","DAP","Arunachal Pradesh","10.00","0.00"
"2012-13","April","MAP","Arunachal Pradesh","0.00","0.00"
"2012-13","April","MOP","Arunachal Pradesh","10.00","0.00"
"2012-13","April","NPK","Arunachal Pradesh","0.00","0.00"
"2012-13","April","TSP","Arunachal Pradesh","0.00","0.00"
"2012-13","April","UREA","Arunachal Pradesh","125.00","0.00"
"2012-13","April","DAP","Assam","2250.00","7961.90"
"2012-13","April","MAP","Assam","0.00","0.00"
"2012-13","April","MOP","Assam","5400.00","3584.60"
"2012-13","April","NPK","Assam","675.00","1977.90"
"2012-13","April","TSP","Assam","0.00","0.00"
"2012-13","April","UREA","Assam","13050.00","0.00"
"2012-13","April","DAP","Bihar","15000.00","18549.50"
"2012-13","April","MAP","Bihar","0.00","4331.25"
"2012-13","April","MOP","Bihar","5000.00","2550.80"
"2012-13","April","NPK","Bihar","15000.00","46111.10"
"2012-13","April","TSP","Bihar","0.00","7551.55"
"2012-13","April","UREA","Bihar","75000.00","5375.75"
"2012-13","April","DAP","Chandigarh","0.00","0.00"
"2012-13","April","MAP","Chandigarh","0.00","0.00"
"2012-13","April","MOP","Chandigarh","0.00","0.00"
"2012-13","April","NPK","Chandigarh","0.00","0.00"
"2012-13","April","TSP","Chandigarh","0.00","0.00"
"2012-13","April","UREA","Chandigarh","0.00","0.00"
"2012-13","April","DAP","Chattishgarh","12000.00","7676.10"
"2012-13","April","MAP","Chattishgarh","0.00","0.00"
"2012-13","April","MOP","Chattishgarh","5000.00","1929.65"
"2012-13","April","NPK","Chattishgarh","6000.00","24659.30"
"2012-13","April","TSP","Chattishgarh","0.00","4455.70"
"2012-13","April","UREA","Chattishgarh","30000.00","75.90"
"2012-13","April","DAP","Dadra & Nagar Haveli","150.00","5900.00"
"2012-13","April","MAP","Dadra & Nagar Haveli","0.00","0.00"
"2012-13","April","MOP","Dadra & Nagar Haveli","40.00","0.00"
"2012-13","April","NPK","Dadra & Nagar Haveli","0.00","0.00"
"2012-13","April","TSP","Dadra & Nagar Haveli","0.00","0.00"
"2012-13","April","UREA","Dadra & Nagar Haveli","150.00","16.95"
"2012-13","April","DAP","Daman & Diu","10.00","0.00"
"2012-13","April","MAP","Daman & Diu","0.00","0.00"
"2012-13","April","MOP","Daman & Diu","0.00","0.00"
"2012-13","April","NPK","Daman & Diu","0.00","0.00"
"2012-13","April","TSP","Daman & Diu","0.00","0.00"
"2012-13","April","UREA","Daman & Diu","40.00","0.00"
"2012-13","April","DAP","Delhi","0.00","0.00"
"2012-13","April","MAP","Delhi","0.00","0.00"
"2012-13","April","MOP","Delhi","0.00","0.00"
"2012-13","April","NPK","Delhi","0.00","0.00"
"2012-13","April","TSP","Delhi","0.00","0.00"
"2012-13","April","UREA","Delhi","0.00","0.00"
"2012-13","April","DAP","Goa","100.00","0.00"
"2012-13","April","MAP","Goa","0.00","0.00"
"2012-13","April","MOP","Goa","50.00","0.00"
"2012-13","April","NPK","Goa","350.00","62.25"
"2012-13","April","TSP","Goa","0.00","0.00"
"2012-13","April","UREA","Goa","250.00","123.50"
"2012-13","April","DAP","Gujarat","65000.00","10197.25"
"2012-13","April","MAP","Gujarat","0.00","0.00"
"2012-13","April","MOP","Gujarat","12000.00","2611.30"
"2012-13","April","NPK","Gujarat","41000.00","23773.61"
"2012-13","April","TSP","Gujarat","0.00","6297.55"
"2012-13","April","UREA","Gujarat","125000.00","8167.62"
"2012-13","April","DAP","Harayana","10000.00","8091.60"
"2012-13","April","MAP","Harayana","0.00","3411.55"
"2012-13","April","MOP","Harayana","10000.00","1713.10"
"2012-13","April","NPK","Harayana","10000.00","7519.95"
"2012-13","April","TSP","Harayana","0.00","0.00"
"2012-13","April","UREA","Harayana","50000.00","30904.10"
"2012-13","April","DAP","Himachal Pradesh","0.00","0.00"
"2012-13","April","MAP","Himachal Pradesh","0.00","0.00"
"2012-13","April","MOP","Himachal Pradesh","50.00","0.00"
"2012-13","April","NPK","Himachal Pradesh","250.00","119.65"
"2012-13","April","TSP","Himachal Pradesh","0.00","0.00"
"2012-13","April","UREA","Himachal Pradesh","2500.00","0.00"
"2012-13","April","DAP","Jammu & Kashmir","5000.00","2313.22"
"2012-13","April","MAP","Jammu & Kashmir","0.00","0.00"
"2012-13","April","MOP","Jammu & Kashmir","2000.00","26.50"
"2012-13","April","NPK","Jammu & Kashmir","0.00","0.00"
"2012-13","April","TSP","Jammu & Kashmir","0.00","0.00"
"2012-13","April","UREA","Jammu & Kashmir","15000.00","229.40"
"2012-13","April","DAP","Jharkhand","5000.00","1356.75"
"2012-13","April","MAP","Jharkhand","0.00","2007.85"
"2012-13","April","MOP","Jharkhand","2500.00","0.00"
"2012-13","April","NPK","Jharkhand","2600.00","4861.95"
"2012-13","April","TSP","Jharkhand","0.00","0.00"
"2012-13","April","UREA","Jharkhand","11000.00","3307.55"
"2012-13","April","DAP","Karnataka","100000.00","18113.38"
"2012-13","April","MAP","Karnataka","0.00","3944.85"
"2012-13","April","MOP","Karnataka","25000.00","17941.20"
"2012-13","April","NPK","Karnataka","61300.00","92571.84"
"2012-13","April","TSP","Karnataka","0.00","9768.00"
"2012-13","April","UREA","Karnataka","50000.00","8551.11"
"2012-13","April","DAP","Kerala","3000.00","7.60"
"2012-13","April","MAP","Kerala","0.00","0.00"
"2012-13","April","MOP","Kerala","9000.00","8385.96"
"2012-13","April","NPK","Kerala","14000.00","20805.01"
"2012-13","April","TSP","Kerala","0.00","3651.25"
"2012-13","April","UREA","Kerala","11000.00","975.58"
"2012-13","April","DAP","Lakshadeeep","0.00","0.00"
"2012-13","April","MAP","Lakshadeeep","0.00","0.00"
"2012-13","April","MOP","Lakshadeeep","0.00","0.00"
"2012-13","April","NPK","Lakshadeeep","0.00","0.00"
"2012-13","April","TSP","Lakshadeeep","0.00","0.00"
"2012-13","April","UREA","Lakshadeeep","0.00","0.00"
"2012-13","April","DAP","Madhya Pradesh","19825.00","28150.50"
"2012-13","April","MAP","Madhya Pradesh","0.00","6418.15"
"2012-13","April","MOP","Madhya Pradesh","6660.00","18641.20"
"2012-13","April","NPK","Madhya Pradesh","6593.00","65340.60"
"2012-13","April","TSP","Madhya Pradesh","0.00","8380.00"
"2012-13","April","UREA","Madhya Pradesh","22031.00","30128.55"
"2012-13","April","DAP","Maharastra","165000.00","23483.44"
"2012-13","April","MAP","Maharastra","0.00","4051.80"
"2012-13","April","MOP","Maharastra","40000.00","26230.20"
"2012-13","April","NPK","Maharastra","118000.00","110762.68"
"2012-13","April","TSP","Maharastra","0.00","16.20"
"2012-13","April","UREA","Maharastra","260000.00","24238.58"
"2012-13","April","DAP","Manipur","300.00","0.00"
"2012-13","April","MAP","Manipur","0.00","0.00"
"2012-13","April","MOP","Manipur","200.00","0.00"
"2012-13","April","NPK","Manipur","0.00","0.00"
"2012-13","April","TSP","Manipur","0.00","0.00"
"2012-13","April","UREA","Manipur","3600.00","0.00"
"2012-13","April","DAP","Megalaya","200.00","300.00"
"2012-13","April","MAP","Megalaya","0.00","0.00"
"2012-13","April","MOP","Megalaya","30.00","0.00"
"2012-13","April","NPK","Megalaya","0.00","0.00"
"2012-13","April","TSP","Megalaya","0.00","0.00"
"2012-13","April","UREA","Megalaya","250.00","0.00"
"2012-13","April","DAP","Mizoram","850.00","0.00"
"2012-13","April","MAP","Mizoram","0.00","0.00"
"2012-13","April","MOP","Mizoram","700.00","0.00"
"2012-13","April","NPK","Mizoram","50.00","0.00"
"2012-13","April","TSP","Mizoram","0.00","0.00"
"2012-13","April","UREA","Mizoram","1700.00","0.00"
"2012-13","April","DAP","Nagaland","120.00","0.00"
"2012-13","April","MAP","Nagaland","0.00","0.00"
"2012-13","April","MOP","Nagaland","48.00","0.00"
"2012-13","April","NPK","Nagaland","30.00","0.00"
"2012-13","April","TSP","Nagaland","0.00","0.00"
"2012-13","April","UREA","Nagaland","182.00","0.00"
"2012-13","April","DAP","Odisha","6520.00","16697.35"
"2012-13","April","MAP","Odisha","0.00","0.00"
"2012-13","April","MOP","Odisha","3440.00","7377.05"
"2012-13","April","NPK","Odisha","11410.00","34261.70"
"2012-13","April","TSP","Odisha","0.00","0.00"
"2012-13","April","UREA","Odisha","19190.00","17750.30"
"2012-13","April","DAP","Pondicherry","700.00","0.00"
"2012-13","April","MAP","Pondicherry","0.00","0.00"
"2012-13","April","MOP","Pondicherry","800.00","0.00"
"2012-13","April","NPK","Pondicherry","1610.00","994.60"
"2012-13","April","TSP","Pondicherry","0.00","0.00"
"2012-13","April","UREA","Pondicherry","2000.00","0.00"
"2012-13","April","DAP","Punjab","30000.00","32084.60"
"2012-13","April","MAP","Punjab","0.00","6575.30"
"2012-13","April","MOP","Punjab","8000.00","3715.75"
"2012-13","April","NPK","Punjab","10000.00","11224.00"
"2012-13","April","TSP","Punjab","0.00","3355.30"
"2012-13","April","UREA","Punjab","125000.00","24311.95"
"2012-13","April","DAP","Rajasthan","10000.00","4985.53"
"2012-13","April","MAP","Rajasthan","0.00","0.00"
"2012-13","April","MOP","Rajasthan","5000.00","1708.15"
"2012-13","April","NPK","Rajasthan","5700.00","13655.80"
"2012-13","April","TSP","Rajasthan","0.00","3526.25"
"2012-13","April","UREA","Rajasthan","45000.00","67814.01"
"2012-13","April","DAP","Sikkim","0.00","0.00"
"2012-13","April","MAP","Sikkim","0.00","0.00"
"2012-13","April","MOP","Sikkim","0.00","0.00"
"2012-13","April","NPK","Sikkim","0.00","0.00"
"2012-13","April","TSP","Sikkim","0.00","0.00"
"2012-13","April","UREA","Sikkim","0.00","0.00"
"2012-13","April","DAP","Tamil Nadu","22000.00","11663.20"
"2012-13","April","MAP","Tamil Nadu","0.00","0.00"
